"Ebene";"OE";"Art";"FB";"Menge";"Verfügbar";"Menge Ist";"Ausstattung | Hersteller | Typ";"Sachnummer";"Inventar Nr";"Gerätenr.";"Status"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001874";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001873";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001872";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001864";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001871";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001870";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001863";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001869";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001868";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001867";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001866";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001858";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001859";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001860";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001861";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001862";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Zurrgurt mit Ratsche (500 kg)";"3940T21349";"0510-001865";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Anschlagkette  3,2 t, 4,0 m lg, 2-Strang | NN | NN (s. Beschreibung)";"4010T22326";"0510-001221";" ";"V"
4;"";"Teil";"";"1";"0";"";"      Anschlagseil, 18 mm Ø; Stahldraht, 16 m lg";"4010T22333";"";"";"F"
4;"";"Teil";"";"1";"1";"";"      Hebeband 5 t; 4 m lg";"4020T22345";"0510-001236";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Rundschlinge Polyester,  6 t,  5 m Umfang";"4020T22354";"0510-001257";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Rundschlinge Polyester,  6 t,  5 m Umfang";"4020T22354";"0510-001258";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Rundschlinge Polyester,  6 t, 10 m Umfang";"4020T22355";"0510-001287";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Rundschlinge Polyester,  6 t, 10 m Umfang";"4020T22355";"0510-001288";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Rundschlinge Polyester,  6 t,  3 m Umfang";"4020T22358";"0510-003564";"";"V"
4;"";"Teil";"";"1";"1";"";"      Rundschlinge Polyester, 10 t, 10 m Umfang";"4020T24352";"0510-003579";"";"V"
4;"";"Teil";"";"1";"1";"";"      Anschlagstück 5 t | NN | 5 t";"4030T22360";"0758-000438";"";"V"
4;"";"Gwm";"";"10 ";"10";"10";"      Arbeitsleine, 10 m, 10 mm Ø";"4020T22342";"---------------";"--------------------";"V"
4;"";"Gwm";"";"5 ";"5";"5";"      Arbeitsleine, 20 m, 14 mm Ø";"4020T22343";"---------------";"--------------------";"V"
4;"";"Gwm";"";"5 ";"5";"5";"      Taschenmesser mit Marlspiecker";"7340T22571";"---------------";"--------------------";"V"
3;"";"Teil";"";"1";"0";"";"    Rundschlinge Polyester,  1 t,  3 m Umfang";"4020T22356";"";"";"F"
3;"";"Teil";"";"1";"1";"";"    Schäkel 10 t";"4030T22364";"0510-000471";" ";"V"
3;"";"Teil";"";"1";"1";"";"    Schäkel 10 t";"4030T22364";"0510-000472";" ";"V"
3;"";"Teil";"";"1";"1";"";"    Schäkel  5 t";"4030T22365";"0510-000455";" ";"V"
3;"";"Teil";"";"1";"1";"";"    Schäkel  5 t";"4030T22365";"0510-000454";" ";"V"
1;"";"Pos";"";"1";"1";"";"Feuerlöschausstattung I (SE)";"4210T22007";"";"";"V"
2;"";"Satz";"";"1";"1";"";"  Feuerlöschausstattung I (SE)";"4210T22007";"0758-S000157";" ";"V"
3;"";"Satz";"";"1";"1";"";"    Feuerlöscher 12 kg  ADR, Brandklasse ABC (SE)";"4210T30351";"0758-S000158";" ";"V"
4;"";"Teil";"";"1";"0";"";"      Feuerlöscher 12 kg, Brandklasse ABC, ADR";"4210T22395";"";"";"F"
4;"";"Gwm";"";"1 ";"1";"1";"      Halterung Feuerlöscher 12 kg";"4210T24397";"---------------";"--------------------";"V"
3;"";"Gwm";"";"1 ";"1";"1";"    Kübelspritze A 10, mit D-Druckschlauch 5 m, Strahlrohr";"4210T22402";"---------------";"--------------------";"V"
2;"";"Teil";"";"1";"1";"";"  Feuerlöscher 12 kg, Brandklasse ABC | JOCKEL | P12J";"4210T22393";"0510-007058";"";"ÜB"
1;"";"Pos";"";"1";"1";"";"Atemgerätausstattung, umluftunabhängig (SE)";"4240T22008";"";"";"V"
2;"";"Satz";"";"1";"0";"";"  Atemgerätausstattung, umluftunabhängig (SE)";"4240T22008";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atem-Druckluftflasche";"4240T22445";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atem-Druckluftflasche";"4240T22445";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atem-Druckluftflasche";"4240T22445";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atem-Druckluftflasche";"4240T22445";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atem-Druckluftflasche";"4240T22445";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atem-Druckluftflasche";"4240T22445";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atem-Druckluftflasche";"4240T22445";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atem-Druckluftflasche";"4240T22445";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atemschutz-Vollmaske, Überdruck";"4240T22446";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atemschutz-Vollmaske, Überdruck";"4240T22446";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atemschutz-Vollmaske, Überdruck";"4240T22446";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atemschutz-Vollmaske, Überdruck";"4240T22446";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atemschutz-Vollmaske, Überdruck";"4240T22446";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atemschutz-Vollmaske, Überdruck";"4240T22446";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atemschutz-Vollmaske, Überdruck";"4240T22446";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Atemschutz-Vollmaske, Überdruck";"4240T22446";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Lungenautomat, Überdrucksystem";"4240T22460";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Lungenautomat, Überdrucksystem";"4240T22460";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Lungenautomat, Überdrucksystem";"4240T22460";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Lungenautomat, Überdrucksystem";"4240T22460";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Pressluftatmer, 1-Flaschengerät, Überdruck";"4240T22465";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Pressluftatmer, 1-Flaschengerät, Überdruck";"4240T22465";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Pressluftatmer, 1-Flaschengerät, Überdruck";"4240T22465";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Pressluftatmer, 1-Flaschengerät, Überdruck";"4240T22465";"";"";"F"
3;"";"Gwm";"";"0 ";"0";"2";"    Einsatztasche Atemgerät-Ausstattung";"4240T22452";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"2";"    Maskenbrille und Brillenputztuch in Etui";"4240T22461";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"2";"    Verbindungsschlauch Lungenautomaten";"4240T22480";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"2";"    Bedienungsanleitung Pressluftatmer 300 bar";"7610T22609";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"2";"    Anti-Beschlagmittel in Behältnis 50 ml";"7930T22675";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"2";"    Brillenputztücher 12 cm x 12 cm;  PG à 10 Stück";"7930T22676";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"8";"    Tragebeutel für Atemschutzmaske";"8460T35805";"---------------";"--------------------";"F"
1;"";"Pos";"";"1";"1";"";"Rettungsausstattung (SE)";"4240T22009";"";"";"V"
2;"";"Satz";"";"1";"1";"";"  Rettungsausstattung (SE)";"4240T22009";"0758-S000053";" ";"V"
3;"";"Satz";"";"1";"1";"";"    Rettungsdreieck (SE)";"4220T22437";"0758-S000417";"";"V"
4;"";"Teil";"";"1";"1";"";"      Rettungssitztuch (Rettungsdreieck) | SKYLOTEC | RESC B";"4220T22440";"0510-004847";"";"V"
4;"";"Teil";"";"1";"1";"";"      Bandschlinge, genäht, 22 kN, Nutzlänge 120 cm";"4240T22450";"0510-004422";"";"V"
4;"";"Teil";"";"1";"1";"";"      Bandschlinge, genäht, 22 kN, Nutzlänge 120 cm";"4240T22450";"0510-004431";"";"V"
4;"";"Teil";"";"1";"1";"";"      Bandschlinge, genäht, 22 kN, Nutzlänge 120 cm";"4240T22450";"0510-004432";"";"V"
4;"";"Teil";"";"1";"1";"";"      Bandschlinge, genäht, 22 kN, Nutzlänge 120 cm";"4240T22450";"0510-004434";"";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Karabinerhaken (Rettungsausstattung)";"4240T22457";"---------------";"--------------------";"V"
3;"";"Satz";"";"1";"1";"";"    Rettungsausstattung (gemeinsame Teile) (SE)";"4240T22011";"0758-S000061";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Doppelflansch-Seilrolle, Rollendurchmesser ca. 50 mm | ROLLGLISS | NN (s. Beschreibung)";"3940T22320";"0758-000066";" ";"V"
4;"";"Teil";"";"1";"1";"";"      Doppelflansch-Seilrolle, Rollendurchmesser ca. 50 mm | EKN | 0639";"3940T22320";"0510-004810";"";"V"
4;"";"Teil";"";"1";"1";"";"      Auffanggerät, Seil 12 mm Ø, 30 m lg | SKYLOTEC | SKN Band S 12";"4220T22426";"0510-004418";"";"V"
4;"";"Teil";"";"1";"1";"";"      Auffanggurt | ARTEX | AX-40";"4220T22431";"0758-000160";" ";"V"
4;"";"Satz";"";"1";"1";"";"      Abseil- und Rettungsgerät (SE)";"4240T22468";"0758-S000062";" ";"V"
5;"";"Teil";"";"1";"1";"";"        Sicherungsseil , 1,20 m lg | SKYLOTEC | L-0141-1,2";"4240T00010";"0758-000457";"";"V"
5;"";"Teil";"";"1";"1";"";"        Stahlseil 1 m | SKYLOTEC | L-0002-1";"4240T00011";"0758-000458";"";"V"
5;"";"Teil";"";"1";"1";"";"        Kernmantelseil, 9 mm Ø, 60 m lg | ROLLGLISSS | NN (s. Beschreibung)";"4240T22453";"0510-003222";"236202-2-2007";"V"
5;"";"Teil";"";"1";"1";"";"        Rollenblock, Grundplatte mit Seilrolle; Rettungsausstattung | ROLLGLISS | R300ST";"4240T22466";"0758-000064";" ";"V"
5;"";"Teil";"";"1";"1";"";"        Seilstoppgerät; Rettungsausstattung | JUMAR | Fritschi 2";"4240T22474";"0758-000065";" ";"V"
4;"";"Gwm";"";"10 ";"10";"10";"      Karabinerhaken (Rettungsausstattung)";"4240T22457";"---------------";"--------------------";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Seilrollenumlenkmechanismus (Kantenschutz)";"4240T22473";"---------------";"--------------------";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Transport-Gerätesack, PVC-Polyamidgewebe mit 2 Schultergurten";"8105T22701";"---------------";"--------------------";"V"
1;"";"Pos";"";"1";"1";"";"Krankentransportausstattung (SE)";"4240T22010";"";"";"V"
2;"";"Satz";"";"1";"1";"";"  Krankentransportausstattung (SE)";"4240T22010";"0758-S000161";" ";"V"
3;"";"Teil";"";"1";"1";"";"    Krankentrage";"6530T00481";"0758-000162";" ";"V"
3;"";"Teil";"";"1";"0";"";"    Krankentrage";"6530T00481";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Korbtrage mit Seilgehänge und Laufkatze";"6530T22479";"";"";"F"
3;"";"Gwm";"";"10 ";"10";"10";"    Isolations-Rettungsdecke Polyesterfolie, silber/goldfarb-Seite 220 x 160 cm";"6510T22461";"---------------";"--------------------";"V"
3;"";"Gwm";"";"4 ";"4";"4";"    Löschdecke, Aramid 200 x 160 cm (Krankenunterlage), DIN 14155 in Tasche";"6510T22462";"---------------";"--------------------";"V"
3;"";"Gwm";"";"2 ";"2";"2";"    Bergetuch in Tasche;  DIN 13040RT";"6530T22478";"---------------";"--------------------";"V"
1;"";"Pos";"";"1";"1";"";"Tauchpumpe; 400 l/min (SE)";"4320T22011";"";"";"V"
2;"";"Satz";"";"1";"1";"";"  Tauchpumpe; 400 l/min (SE)";"4320T22011";"0758-S000491";"";"V"
3;"";"Teil";"";"1";"1";"";"    Tauchpumpe  400 l/min - 1 bar, tragbar | MAST | TP4-1";"4320T22493";"0510-008694";"71564";"V"
1;"";"Pos";"";"1";"1";"";"Pumpen-Zubehörsatz; TP 400 l/min  ""C"" (SE)";"4320T22014";"";"";"V"
2;"";"Satz";"";"1";"0";"";"  Pumpen-Zubehörsatz; TP 400 l/min  ""C"" (SE)";"4320T22014";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Druckschlauch D, 15 m lg. mit Kupplungen";"4210T22379";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Druckschlauch C, 15 m lang";"4210T22380";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Druckschlauch C, 15 m lang";"4210T22380";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Druckschlauch C, 15 m lang";"4210T22380";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Druckschlauch C, 15 m lang";"4210T22380";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Druckschlauch C, 15 m lang";"4210T22380";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Druckschlauch C, 15 m lang";"4210T22380";"";"";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Hydrantenschlüssel,";"4210T22112";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Standrohr, 2 C-Anschlüsse";"4210T22213";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Blindkupplung PN 16-C, mit Kette,";"4210T22376";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"4";"    Kupplungsschlüssel A-B-C, 448 mm lang,";"4210T22401";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Sammelstück PN 16,  B-CC";"4210T22405";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Strahlrohr CM mit C-Kupplung";"4210T22419";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Strahlrohr DM mit D-Kupplung,";"4210T22420";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Einlaufbogen 180° mit C-Festkupplung";"4210T31386";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Übergangsstück C / D";"4210T33343";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"2";"    Knickschutzkrümmer, für B/C-Schläuche";"4210T34400";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"2";"    Schlauchbrücke, 2 B, Holz,";"4210T34412";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"2";"    Übergangsstück B/C,";"4210T34424";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Schachthaken, Paar mit Kette";"5120T22794";"---------------";"--------------------";"F"
3;"";"Gwm";"";"0 ";"0";"1";"    Griffschlüssel Überflurhydrant, mit Dreikant;  DIN 3223";"5120T34414";"---------------";"--------------------";"F"
1;"";"Pos";"";"1";"1";"";"Hebekissenausstattung pneumatisch 8 bar (SE)";"5120T22014";"";"";"V"
2;"";"Satz";"";"1";"1";"";"  Hebekissenausstattung pneumatisch 8 bar (SE)";"5120T22014";"0758-S000103";" ";"V"
3;"";"Teil";"";"1";"1";"";"    Sammelstück für Druckluftflaschen 300 bar | LUKAS | 160009100";"4820T00008";"0758-000488";"";"V"
3;"";"Teil";"";"1";"0";"";"    Absperrorgan 8 bar mit Anschlußschlauch";"4820T00009";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Absperrorgan 8 bar mit Anschlußschlauch";"4820T00009";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Absperrorgan 8 bar mit Anschlußschlauch";"4820T00009";"";"";"F"
3;"";"Teil";"";"1";"0";"";"    Absperrorgan 8 bar mit Anschlußschlauch";"4820T00009";"";"";"F"
3;"";"Teil";"";"1";"1";"";"    Druckminderer Druckluft  300 bar | VETTER | NN";"4820T22519";"0052-005966";" ";"V"
3;"";"Teil";"";"1";"1";"";"    Steuerteil für Hebekissen, 8 bar | VETTER | NN";"4820T22525";"0052-005958";" ";"V"
3;"";"Satz";"";"1";"1";"";"    Zubehörsatz Hebekissen (SE)";"5120T22214";"0758-S000104";" ";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Adapterstück I (Zubehör Hebekissen)";"2540T22169";"---------------";"--------------------";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Adapterstück II (Zubehör Hebekissen)";"2540T22170";"---------------";"--------------------";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Verschlußstopfen für Bremleitungssystem; Zubehör Hebekissen";"2540T22185";"---------------";"--------------------";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Adapterstück zum Anschluß an Druckluftleitungen bzw. Baustellenkompressor; Zubehör Hebekissen";"4820T22516";"---------------";"--------------------";"V"
4;"";"Gwm";"";"2 ";"2";"2";"      Bedienungsanleitung Hebekissensatz";"7610T22014";"---------------";"--------------------";"V"
4;"";"Gwm";"";"1 ";"1";"1";"      Segeltuchtasche für Zubehör Hebekissen";"8105T22698";"---------------";"--------------------";"V"
3;"";"Teil";"";"1";"1";"";"    Hebekissen ca. 800 x 700 mm | VETTER | V 40";"5120T22718";"0510-002198";"03057970";"V"
3;"";"Teil";"";"1";"1";"";"    Hebekissen ca. 800 x 700 mm | VETTER | V 40";"5120T22718";"0510-002199";"03057968";"V"
3;"";"Teil";"";"1";"1";"";"    Hebekissen ca. 500 x 550 mm | VETTER | V 20";"5120T22719";"0001-047877";"09053306";"V"
3;"";"Teil";"";"1";"1";"";"    Hebekissen ca. 500 x 550 mm | VETTER | V 20";"5120T22719";"0001-047868";"09053307";"V"
3;"";"Teil";"";"1";"1";"";"    Druckluftflasche 6 l, 300 bar | VETTER | NN";"8120T22720";"0052-005954";" ";"V"
3;"";"Teil";"";"1";"1";"";"    Druckluftflasche 6 l, 300 bar | VETTER | NN";"8120T22720";"0052-005953";" ";"V"
3;"";"Gwm";"";"2 ";"2";"2";"    Füllschlauch 5 m lg, grün";"4720T22505";"---------------";"--------------------";"V"
3;"";"Gwm";"";"2 ";"2";"2";"    Füllschlauch 5 m lg, gelb";"4720T22506";"---------------";"--------------------";"V"
3;"";"Gwm";"";"1 ";"1";"1";"    Luftzuführungsschlauch 10m lg, gelb";"4720T22513";"---------------";"--------------------";"V"
1;"";"Pos";"";"1";"1";"";"Zuggerät 16 kN, mit Zubehör (SE)";"5120T22015";"";"";"V"
2;"";"Satz";"";"1";"1";"";"  Zuggerät 32 kN, mit Zubehör (SE)";"5120T23012";"0758-S000474";"";"A"
3;"";"Teil";"";"1";"1";"";"    Drahtseilklappkloben, 64 kN (6,4 t) Nutzlast | HABEGGER | AL-A 64kN";"3940T22318";"0001-134146";"";"A"
3;"";"Teil";"";"1";"1";"";"    Drahtseil, 16 mm Ø, 20 m lang";"4010T23335";"0001-134148";"";"A"
3;"";"Teil";"";"1";"0";"";"    Drahtseil, 16 mm Ø, 30 m lg";"4010T23336";"";"";"F, A"
3;"";"Satz";"";"1";"1";"";"    Feldverankerung (SE)";"4030T23361";"0758-S000475";"";"A"
4;"";"Teil";"";"1";"0";"";"      Schäkel  8,5 t, mit Angel";"4030T23368";"";"";"F, A"
4;"";"Gwm";"";"12 ";"12";"12";"      Ankerpfahl";"5120T23653";"---------------";"--------------------";"A"
4;"";"Gwm";"";"3 ";"3";"3";"      Ankerschiene,";"5120T23654";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Pflockzieher, Feldverankerung";"5120T23766";"---------------";"--------------------";"A"
3;"";"Satz";"";"1";"1";"";"    Zubehörsatz Zuggerät (SE)";"5120T22615";"0758-S000476";"";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Durchtreiber 6 mm";"5120T00032";"---------------";"--------------------";"A"
4;"";"Gwm";"";"10 ";"10";"10";"      Ersatzscherstift";"5120T22700";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Gabelringschlüssel 14 mm SW";"5120T22711";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Schlosserhammer 300 g mit Stiel";"5120T23929";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Werkzeugkasten Zubehör Zuggerät";"5140T22975";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Kunststoff-Ölflasche mit Spritzkopf, 1 l";"8110T22709";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Putztuch, Baumwolle 43 x 43 cm";"8305T22732";"---------------";"--------------------";"A"
4;"";"Gwm";"";"2 ";"2";"2";"      Geräteschmierfett";"9150T22799";"---------------";"--------------------";"A"
3;"";"Teil";"";"1";"1";"";"    Drahtseil-Zuggerät 32 kN | HABEGGER | HIT 32";"5120T23675";"0001-134149";"";"A"
3;"";"Gwm";"";"1 ";"1";"1";"    Kantenreiter, Stahl mit 3 drehbaren Rollen";"3895T22309";"---------------";"--------------------";"A"
3;"";"Gwm";"";"1 ";"1";"1";"    Wirbelhaken 32 kN";"4020T23373";"---------------";"--------------------";"A"
3;"";"Gwm";"";"1 ";"1";"1";"    Seilklemme, Größe 3,";"4030T23370";"---------------";"--------------------";"A"
3;"";"Gwm";"";"4 ";"4";"4";"    Unterlegrolle, Stahlrohr 80 x 5 x 1000 mm";"4710T22501";"---------------";"--------------------";"A"
3;"";"Gwm";"";"1 ";"1";"1";"    Aufbewahrungskasten, Zuggerät 32 kN";"5140T23972";"---------------";"--------------------";"A"
1;"";"Pos";"";"1";"1";"";"Bohrhammer 600 W / 230 V, Bergung B 1 / B 2 (SE)";"5130T00024";"";"";"V"
2;"";"Satz";"";"1";"1";"";"  Bohrhammer 600 W, 230 V (SE)";"5130T22020";"0052-S005597";" ";"A"
3;"";"Teil";"";"1";"1";"";"    Bohrhammer -electronic-, ca. 600 W, 230 V | BOSCH | GAH 500 DSR";"5130T22920";"0052-005569";"589 0000 16";"A"
3;"";"Satz";"";"1";"1";"";"    SDS-Dübelbohrer-Satz, Stein (SE)";"5133T22941";"0052-S005598";" ";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      SDS-Dübelbohrer, Stein, 5 mm Ø";"5133T22947";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      SDS-Dübelbohrer, Stein, 6 mm Ø";"5133T22948";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      SDS-Dübelbohrer, Stein, 8 mm Ø";"5133T22949";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      SDS-Dübelbohrer, Stein, 10 mm Ø";"5133T22950";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      SDS-Dübelbohrer, Stein, 12 mm Ø";"5133T22951";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Kasten zur Aufnahme der SDS-Dübelbohrer";"5133T22952";"---------------";"--------------------";"A"
3;"";"Satz";"";"1";"1";"";"    Spiralbohrer-Satz, Holz (SE)";"5133T22956";"0052-S005599";" ";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Holz, 5 mm Ø";"5133T00015";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Holz, 4 mm Ø";"5133T22984";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Holz, 6 mm Ø";"5133T22985";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Holz, 8 mm Ø";"5133T22986";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Holz, 10 mm Ø";"5133T22987";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Holz, 12 mm Ø";"5133T22988";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Kasten zur Aufnahme der Spiralbohrer Holz";"5133T22989";"---------------";"--------------------";"A"
3;"";"Satz";"";"1";"1";"";"    Spiralbohrer-Satz, Metall (SE)";"5133T22957";"0052-S005600";" ";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Metall, 1 mm Ø, HSS, kurz";"5133T22958";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Metall, 1,5 mm Ø, HSS, kurz";"5133T22959";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Metall, 2 mm Ø, HSS, kurz";"5133T22960";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Metall, 2,5 mm Ø, HSS, kurz";"5133T22961";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Metall, 3 mm Ø, HSS, kurz";"5133T22962";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Metall, 3,5 mm Ø, HSS, kurz";"5133T22963";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Metall, 4 mm Ø, HSS, kurz";"5133T22964";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Metall, 4,5 mm Ø, HSS, kurz";"5133T22965";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Metall, 5 mm Ø, HSS, kurz";"5133T22966";"---------------";"--------------------";"A"
4;"";"Gwm";"";"1 ";"1";"1";"      Spiralbohrer, Metall, 5,5 mm Ø, HSS, kurz";"5133T22967";"---------------";"--------------------";"A"
